title_name,title_url,title_date,title_date_url
Walkot Idris Ungkap 25 Kelurahan di Depok Nihil Kasus COVID-19,https://news.detik.com/berita/d-5784580/walkot-idris-ungkap-25-kelurahan-di-depok-nihil-kasus-covid-19,"detikNewsRabu, 27 Okt 2021 11:49 WIB",https://news.detik.com/berita/d-5784580/walkot-idris-ungkap-25-kelurahan-di-depok-nihil-kasus-covid-19
"Dihajar Varian Delta, Realisasi Investasi hingga September Seret",https://finance.detik.com/berita-ekonomi-bisnis/d-5784568/dihajar-varian-delta-realisasi-investasi-hingga-september-seret,"detikFinanceRabu, 27 Okt 2021 11:39 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-5784568/dihajar-varian-delta-realisasi-investasi-hingga-september-seret
Cara Kirim Email ke PeduliLindungi Jika Sertifikat Vaksin Tak Muncul,https://news.detik.com/berita/d-5784569/cara-kirim-email-ke-pedulilindungi-jika-sertifikat-vaksin-tak-muncul,"detikNewsRabu, 27 Okt 2021 11:37 WIB",https://news.detik.com/berita/d-5784569/cara-kirim-email-ke-pedulilindungi-jika-sertifikat-vaksin-tak-muncul
Rencana Korea Selatan Hidupkan Kembali Konser Offline K-Pop,https://hot.detik.com/detiktv/d-5784506/rencana-korea-selatan-hidupkan-kembali-konser-offline-k-pop,"detikHotRabu, 27 Okt 2021 11:17 WIB",https://hot.detik.com/detiktv/d-5784506/rencana-korea-selatan-hidupkan-kembali-konser-offline-k-pop
"Akhirnya! RI Nihil Zona Oranye, Kab/Kota di Zona 'Bebas' COVID-19 Nambah Terus",https://health.detik.com/berita-detikhealth/d-5784481/akhirnya-ri-nihil-zona-oranye-kabkota-di-zona-bebas-covid-19-nambah-terus,"detikHealthRabu, 27 Okt 2021 11:00 WIB",https://health.detik.com/berita-detikhealth/d-5784481/akhirnya-ri-nihil-zona-oranye-kabkota-di-zona-bebas-covid-19-nambah-terus
"Pioli Ingin Istirahatkan Rafael Leao, tapi...",https://sport.detik.com/sepakbola/liga-italia/d-5784463/pioli-ingin-istirahatkan-rafael-leao-tapi,"SepakbolaRabu, 27 Okt 2021 10:50 WIB",https://sport.detik.com/sepakbola/liga-italia/d-5784463/pioli-ingin-istirahatkan-rafael-leao-tapi
"Dulu Wuhan Sekarang Lanzhou, China Adakan Lockdown Lagi",https://travel.detik.com/travel-news/d-5784351/dulu-wuhan-sekarang-lanzhou-china-adakan-lockdown-lagi,"detikTravelRabu, 27 Okt 2021 09:42 WIB",https://travel.detik.com/travel-news/d-5784351/dulu-wuhan-sekarang-lanzhou-china-adakan-lockdown-lagi
"5 Murid-1 Guru Kena Corona, PTM di SMKN 1 Sedayu Bantul Disetop",https://news.detik.com/berita-jawa-tengah/d-5784345/5-murid-1-guru-kena-corona-ptm-di-smkn-1-sedayu-bantul-disetop,"detikNewsRabu, 27 Okt 2021 09:32 WIB",https://news.detik.com/berita-jawa-tengah/d-5784345/5-murid-1-guru-kena-corona-ptm-di-smkn-1-sedayu-bantul-disetop
"Bus Lebih Berisiko Tularkan COVID-19, Wajib PCR Kok Malah di Pesawat?",https://health.detik.com/berita-detikhealth/d-5784344/bus-lebih-berisiko-tularkan-covid-19-wajib-pcr-kok-malah-di-pesawat,"detikHealthRabu, 27 Okt 2021 09:32 WIB",https://health.detik.com/berita-detikhealth/d-5784344/bus-lebih-berisiko-tularkan-covid-19-wajib-pcr-kok-malah-di-pesawat
"Dihantam Covid-19, China Lockdown Lagi-Gelar Tes Massal",https://news.detik.com/detiktv/d-5784340/dihantam-covid-19-china-lockdown-lagi-gelar-tes-massal,"detikNewsRabu, 27 Okt 2021 09:28 WIB",https://news.detik.com/detiktv/d-5784340/dihantam-covid-19-china-lockdown-lagi-gelar-tes-massal
"Blak-blakan Epidemiolog Dicky Budiman: Tes PCR, Kepentingan Medis atau Bisnis?",https://news.detik.com/detiktv/d-5784322/blak-blakan-epidemiolog-dicky-budiman-tes-pcr-kepentingan-medis-atau-bisnis,"detikNewsRabu, 27 Okt 2021 09:05 WIB",https://news.detik.com/detiktv/d-5784322/blak-blakan-epidemiolog-dicky-budiman-tes-pcr-kepentingan-medis-atau-bisnis
"Mulai Cemaskan COVID-19, Jokowi: Kenaikan Ada Meski Kecil",https://health.detik.com/berita-detikhealth/d-5784284/mulai-cemaskan-covid-19-jokowi-kenaikan-ada-meski-kecil,"detikHealthRabu, 27 Okt 2021 08:45 WIB",https://health.detik.com/berita-detikhealth/d-5784284/mulai-cemaskan-covid-19-jokowi-kenaikan-ada-meski-kecil
